5684 400 400
101 368 -1 0
100 368 -1 0
99 368 -1 0
98 368 -1 0
97 368 -1 0
96 368 -1 0
95 368 -1 0
94 368 -1 0
93 368 -1 0
103 367 -1 0
102 367 -1 0
101 367 -1 0
100 367 -1 0
99 367 -1 0
98 367 -1 0
97 367 -1 0
96 367 -1 0
95 367 -1 0
94 367 -1 0
93 367 -1 0
103 366 -1 0
102 366 -1 0
101 366 -1 0
100 366 -1 0
99 366 -1 0
98 366 -1 0
97 366 -1 0
96 366 -1 0
95 366 -1 0
94 366 -1 0
93 366 -1 0
103 365 -1 0
102 365 -1 0
101 365 -1 0
100 365 -1 0
99 365 -1 0
98 365 -1 0
97 365 -1 0
96 365 -1 0
95 365 -1 0
94 365 -1 0
93 365 -1 0
102 364 -1 0
101 364 -1 0
100 364 -1 0
99 364 -1 0
98 364 -1 0
97 364 -1 0
96 364 -1 0
95 364 -1 0
94 364 -1 0
103 363 -1 0
102 363 -1 0
101 363 -1 0
100 363 -1 0
99 363 -1 0
98 363 -1 0
97 363 -1 0
96 363 -1 0
95 363 -1 0
94 363 -1 0
93 363 -1 0
102 362 -1 0
101 362 -1 0
100 362 -1 0
99 362 -1 0
98 362 -1 0
97 362 -1 0
96 362 -1 0
95 362 -1 0
94 362 -1 0
103 361 -1 0
102 361 -1 0
101 361 -1 0
100 361 -1 0
99 361 -1 0
98 361 -1 0
97 361 -1 0
96 361 -1 0
95 361 -1 0
94 361 -1 0
93 361 -1 0
103 360 -1 0
102 360 -1 0
101 360 -1 0
100 360 -1 0
99 360 -1 0
98 360 -1 0
97 360 -1 0
96 360 -1 0
95 360 -1 0
94 360 -1 0
93 360 -1 0
103 359 -1 0
102 359 -1 0
101 359 -1 0
100 359 -1 0
99 359 -1 0
98 359 -1 0
97 359 -1 0
96 359 -1 0
95 359 -1 0
94 359 -1 0
93 359 -1 0
103 358 -1 0
102 358 -1 0
101 358 -1 0
100 358 -1 0
99 358 -1 0
98 358 -1 0
97 358 -1 0
96 358 -1 0
95 358 -1 0
94 358 -1 0
93 358 -1 0
92 358 -1 0
103 357 -1 0
102 357 -1 0
101 357 -1 0
100 357 -1 0
99 357 -1 0
98 357 -1 0
97 357 -1 0
96 357 -1 0
95 357 -1 0
94 357 -1 0
93 357 -1 0
92 357 -1 0
91 357 -1 0
103 356 -1 0
102 356 -1 0
101 356 -1 0
100 356 -1 0
99 356 -1 0
98 356 -1 0
97 356 -1 0
96 356 -1 0
95 356 -1 0
94 356 -1 0
93 356 -1 0
92 356 -1 0
91 356 -1 0
90 356 -1 0
103 355 -1 0
102 355 -1 0
101 355 -1 0
100 355 -1 0
99 355 -1 0
98 355 -1 0
97 355 -1 0
96 355 -1 0
95 355 -1 0
94 355 -1 0
93 355 -1 0
92 355 -1 0
91 355 -1 0
90 355 -1 0
89 355 -1 0
102 354 -1 0
101 354 -1 0
100 354 -1 0
99 354 -1 0
98 354 -1 0
97 354 -1 0
96 354 -1 0
95 354 -1 0
94 354 -1 0
93 354 -1 0
92 354 -1 0
91 354 -1 0
90 354 -1 0
89 354 -1 0
102 353 -1 0
101 353 -1 0
100 353 -1 0
99 353 -1 0
98 353 -1 0
97 353 -1 0
96 353 -1 0
95 353 -1 0
94 353 -1 0
93 353 -1 0
92 353 -1 0
91 353 -1 0
90 353 -1 0
89 353 -1 0
102 352 -1 0
101 352 -1 0
100 352 -1 0
99 352 -1 0
98 352 -1 0
97 352 -1 0
96 352 -1 0
95 352 -1 0
94 352 -1 0
93 352 -1 0
92 352 -1 0
91 352 -1 0
90 352 -1 0
89 352 -1 0
88 352 -1 0
101 351 -1 0
100 351 -1 0
99 351 -1 0
98 351 -1 0
97 351 -1 0
96 351 -1 0
95 351 -1 0
94 351 -1 0
93 351 -1 0
92 351 -1 0
91 351 -1 0
90 351 -1 0
89 351 -1 0
88 351 -1 0
99 350 -1 0
98 350 -1 0
97 350 -1 0
96 350 -1 0
95 350 -1 0
94 350 -1 0
93 350 -1 0
92 350 -1 0
91 350 -1 0
90 350 -1 0
89 350 -1 0
98 349 -1 0
97 349 -1 0
96 349 -1 0
95 349 -1 0
94 349 -1 0
93 349 -1 0
92 349 -1 0
91 349 -1 0
90 349 -1 0
89 349 -1 0
97 348 -1 0
96 348 -1 0
95 348 -1 0
94 348 -1 0
93 348 -1 0
92 348 -1 0
91 348 -1 0
90 348 -1 0
89 348 -1 0
96 347 -1 0
95 347 -1 0
94 347 -1 0
93 347 -1 0
92 347 -1 0
91 347 -1 0
90 347 -1 0
93 346 -1 0
196 176 -1 0
195 176 -1 0
194 176 -1 0
193 176 -1 0
192 176 -1 0
191 176 -1 0
190 176 -1 0
189 176 -1 0
188 176 -1 0
187 176 -1 0
186 176 -1 0
185 176 -1 0
184 176 -1 0
183 176 -1 0
182 176 -1 0
181 176 -1 0
180 176 -1 0
179 176 -1 0
199 175 -1 0
198 175 -1 0
197 175 -1 0
196 175 -1 0
195 175 -1 0
194 175 -1 0
193 175 -1 0
192 175 -1 0
191 175 -1 0
190 175 -1 0
189 175 -1 0
188 175 -1 0
187 175 -1 0
186 175 -1 0
185 175 -1 0
184 175 -1 0
183 175 -1 0
182 175 -1 0
181 175 -1 0
180 175 -1 0
179 175 -1 0
178 175 -1 0
177 175 -1 0
176 175 -1 0
175 175 -1 0
174 175 -1 0
200 174 -1 0
199 174 -1 0
198 174 -1 0
197 174 -1 0
196 174 -1 0
195 174 -1 0
194 174 -1 0
193 174 -1 0
192 174 -1 0
191 174 -1 0
190 174 -1 0
189 174 -1 0
188 174 -1 0
187 174 -1 0
186 174 -1 0
185 174 -1 0
184 174 -1 0
183 174 -1 0
182 174 -1 0
181 174 -1 0
180 174 -1 0
179 174 -1 0
178 174 -1 0
177 174 -1 0
176 174 -1 0
175 174 -1 0
174 174 -1 0
173 174 -1 0
172 174 -1 0
171 174 -1 0
170 174 -1 0
200 173 -1 0
199 173 -1 0
198 173 -1 0
197 173 -1 0
196 173 -1 0
195 173 -1 0
194 173 -1 0
193 173 -1 0
192 173 -1 0
191 173 -1 0
190 173 -1 0
189 173 -1 0
188 173 -1 0
187 173 -1 0
186 173 -1 0
185 173 -1 0
184 173 -1 0
183 173 -1 0
182 173 -1 0
181 173 -1 0
180 173 -1 0
179 173 -1 0
178 173 -1 0
177 173 -1 0
176 173 -1 0
175 173 -1 0
174 173 -1 0
173 173 -1 0
172 173 -1 0
171 173 -1 0
170 173 -1 0
169 173 -1 0
168 173 -1 0
167 173 -1 0
200 172 -1 0
199 172 -1 0
198 172 -1 0
197 172 -1 0
196 172 -1 0
195 172 -1 0
194 172 -1 0
193 172 -1 0
192 172 -1 0
191 172 -1 0
190 172 -1 0
189 172 -1 0
188 172 -1 0
187 172 -1 0
186 172 -1 0
185 172 -1 0
184 172 -1 0
183 172 -1 0
182 172 -1 0
181 172 -1 0
180 172 -1 0
179 172 -1 0
178 172 -1 0
177 172 -1 0
176 172 -1 0
175 172 -1 0
174 172 -1 0
173 172 -1 0
172 172 -1 0
171 172 -1 0
170 172 -1 0
169 172 -1 0
168 172 -1 0
167 172 -1 0
166 172 -1 0
165 172 -1 0
164 172 -1 0
201 171 -1 0
200 171 -1 0
199 171 -1 0
198 171 -1 0
197 171 -1 0
196 171 -1 0
195 171 -1 0
194 171 -1 0
193 171 -1 0
192 171 -1 0
191 171 -1 0
190 171 -1 0
189 171 -1 0
188 171 -1 0
187 171 -1 0
186 171 -1 0
185 171 -1 0
184 171 -1 0
183 171 -1 0
182 171 -1 0
181 171 -1 0
180 171 -1 0
179 171 -1 0
178 171 -1 0
177 171 -1 0
176 171 -1 0
175 171 -1 0
174 171 -1 0
173 171 -1 0
172 171 -1 0
171 171 -1 0
170 171 -1 0
169 171 -1 0
168 171 -1 0
167 171 -1 0
166 171 -1 0
165 171 -1 0
164 171 -1 0
163 171 -1 0
202 170 -1 0
201 170 -1 0
200 170 -1 0
199 170 -1 0
198 170 -1 0
197 170 -1 0
196 170 -1 0
195 170 -1 0
194 170 -1 0
193 170 -1 0
192 170 -1 0
191 170 -1 0
190 170 -1 0
189 170 -1 0
188 170 -1 0
187 170 -1 0
186 170 -1 0
185 170 -1 0
184 170 -1 0
183 170 -1 0
182 170 -1 0
181 170 -1 0
180 170 -1 0
179 170 -1 0
178 170 -1 0
177 170 -1 0
176 170 -1 0
175 170 -1 0
174 170 -1 0
173 170 -1 0
172 170 -1 0
171 170 -1 0
170 170 -1 0
169 170 -1 0
168 170 -1 0
167 170 -1 0
166 170 -1 0
165 170 -1 0
164 170 -1 0
163 170 -1 0
162 170 -1 0
203 169 -1 0
202 169 -1 0
201 169 -1 0
200 169 -1 0
199 169 -1 0
198 169 -1 0
197 169 -1 0
196 169 -1 0
195 169 -1 0
194 169 -1 0
193 169 -1 0
192 169 -1 0
191 169 -1 0
190 169 -1 0
189 169 -1 0
188 169 -1 0
187 169 -1 0
186 169 -1 0
185 169 -1 0
184 169 -1 0
183 169 -1 0
182 169 -1 0
181 169 -1 0
180 169 -1 0
179 169 -1 0
178 169 -1 0
177 169 -1 0
176 169 -1 0
175 169 -1 0
174 169 -1 0
173 169 -1 0
172 169 -1 0
171 169 -1 0
170 169 -1 0
169 169 -1 0
168 169 -1 0
167 169 -1 0
166 169 -1 0
165 169 -1 0
164 169 -1 0
163 169 -1 0
162 169 -1 0
161 169 -1 0
160 169 -1 0
204 168 -1 0
203 168 -1 0
202 168 -1 0
201 168 -1 0
200 168 -1 0
199 168 -1 0
198 168 -1 0
197 168 -1 0
196 168 -1 0
195 168 -1 0
194 168 -1 0
193 168 -1 0
192 168 -1 0
191 168 -1 0
190 168 -1 0
189 168 -1 0
188 168 -1 0
187 168 -1 0
186 168 -1 0
185 168 -1 0
184 168 -1 0
183 168 -1 0
182 168 -1 0
181 168 -1 0
180 168 -1 0
179 168 -1 0
178 168 -1 0
177 168 -1 0
176 168 -1 0
175 168 -1 0
174 168 -1 0
173 168 -1 0
172 168 -1 0
171 168 -1 0
170 168 -1 0
169 168 -1 0
168 168 -1 0
167 168 -1 0
166 168 -1 0
165 168 -1 0
164 168 -1 0
163 168 -1 0
162 168 -1 0
161 168 -1 0
160 168 -1 0
159 168 -1 0
158 168 -1 0
204 167 -1 0
203 167 -1 0
202 167 -1 0
201 167 -1 0
200 167 -1 0
199 167 -1 0
198 167 -1 0
197 167 -1 0
196 167 -1 0
195 167 -1 0
194 167 -1 0
193 167 -1 0
192 167 -1 0
191 167 -1 0
190 167 -1 0
189 167 -1 0
188 167 -1 0
187 167 -1 0
186 167 -1 0
185 167 -1 0
184 167 -1 0
183 167 -1 0
182 167 -1 0
181 167 -1 0
180 167 -1 0
179 167 -1 0
178 167 -1 0
177 167 -1 0
176 167 -1 0
175 167 -1 0
174 167 -1 0
173 167 -1 0
172 167 -1 0
171 167 -1 0
170 167 -1 0
169 167 -1 0
168 167 -1 0
167 167 -1 0
166 167 -1 0
165 167 -1 0
164 167 -1 0
163 167 -1 0
162 167 -1 0
161 167 -1 0
160 167 -1 0
159 167 -1 0
158 167 -1 0
157 167 -1 0
205 166 -1 0
204 166 -1 0
203 166 -1 0
202 166 -1 0
201 166 -1 0
200 166 -1 0
199 166 -1 0
198 166 -1 0
197 166 -1 0
196 166 -1 0
195 166 -1 0
194 166 -1 0
193 166 -1 0
192 166 -1 0
191 166 -1 0
190 166 -1 0
189 166 -1 0
188 166 -1 0
187 166 -1 0
186 166 -1 0
185 166 -1 0
184 166 -1 0
183 166 -1 0
182 166 -1 0
181 166 -1 0
180 166 -1 0
179 166 -1 0
178 166 -1 0
177 166 -1 0
176 166 -1 0
175 166 -1 0
174 166 -1 0
173 166 -1 0
172 166 -1 0
171 166 -1 0
170 166 -1 0
169 166 -1 0
168 166 -1 0
167 166 -1 0
166 166 -1 0
165 166 -1 0
164 166 -1 0
163 166 -1 0
162 166 -1 0
161 166 -1 0
160 166 -1 0
159 166 -1 0
158 166 -1 0
157 166 -1 0
156 166 -1 0
155 166 -1 0
206 165 -1 0
205 165 -1 0
204 165 -1 0
203 165 -1 0
202 165 -1 0
201 165 -1 0
200 165 -1 0
199 165 -1 0
198 165 -1 0
197 165 -1 0
196 165 -1 0
195 165 -1 0
194 165 -1 0
193 165 -1 0
192 165 -1 0
191 165 -1 0
190 165 -1 0
189 165 -1 0
178 165 -1 0
177 165 -1 0
176 165 -1 0
175 165 -1 0
174 165 -1 0
173 165 -1 0
172 165 -1 0
171 165 -1 0
170 165 -1 0
169 165 -1 0
168 165 -1 0
167 165 -1 0
166 165 -1 0
165 165 -1 0
164 165 -1 0
163 165 -1 0
162 165 -1 0
161 165 -1 0
160 165 -1 0
159 165 -1 0
158 165 -1 0
157 165 -1 0
156 165 -1 0
155 165 -1 0
154 165 -1 0
207 164 -1 0
206 164 -1 0
205 164 -1 0
204 164 -1 0
203 164 -1 0
202 164 -1 0
201 164 -1 0
200 164 -1 0
199 164 -1 0
198 164 -1 0
197 164 -1 0
196 164 -1 0
195 164 -1 0
194 164 -1 0
193 164 -1 0
192 164 -1 0
191 164 -1 0
174 164 -1 0
173 164 -1 0
172 164 -1 0
171 164 -1 0
170 164 -1 0
169 164 -1 0
168 164 -1 0
167 164 -1 0
166 164 -1 0
165 164 -1 0
164 164 -1 0
163 164 -1 0
162 164 -1 0
161 164 -1 0
160 164 -1 0
159 164 -1 0
158 164 -1 0
157 164 -1 0
156 164 -1 0
155 164 -1 0
154 164 -1 0
153 164 -1 0
208 163 -1 0
207 163 -1 0
206 163 -1 0
205 163 -1 0
204 163 -1 0
203 163 -1 0
202 163 -1 0
201 163 -1 0
200 163 -1 0
199 163 -1 0
198 163 -1 0
197 163 -1 0
196 163 -1 0
195 163 -1 0
194 163 -1 0
193 163 -1 0
171 163 -1 0
170 163 -1 0
169 163 -1 0
168 163 -1 0
167 163 -1 0
166 163 -1 0
165 163 -1 0
164 163 -1 0
163 163 -1 0
162 163 -1 0
161 163 -1 0
160 163 -1 0
159 163 -1 0
158 163 -1 0
157 163 -1 0
156 163 -1 0
155 163 -1 0
154 163 -1 0
153 163 -1 0
152 163 -1 0
151 163 -1 0
209 162 -1 0
208 162 -1 0
207 162 -1 0
206 162 -1 0
205 162 -1 0
204 162 -1 0
203 162 -1 0
202 162 -1 0
201 162 -1 0
200 162 -1 0
199 162 -1 0
198 162 -1 0
197 162 -1 0
196 162 -1 0
195 162 -1 0
170 162 -1 0
169 162 -1 0
168 162 -1 0
167 162 -1 0
166 162 -1 0
165 162 -1 0
164 162 -1 0
163 162 -1 0
162 162 -1 0
161 162 -1 0
160 162 -1 0
159 162 -1 0
158 162 -1 0
157 162 -1 0
156 162 -1 0
155 162 -1 0
154 162 -1 0
153 162 -1 0
152 162 -1 0
151 162 -1 0
150 162 -1 0
149 162 -1 0
214 161 -1 0
213 161 -1 0
210 161 -1 0
209 161 -1 0
208 161 -1 0
207 161 -1 0
206 161 -1 0
205 161 -1 0
204 161 -1 0
203 161 -1 0
202 161 -1 0
201 161 -1 0
200 161 -1 0
199 161 -1 0
198 161 -1 0
197 161 -1 0
196 161 -1 0
167 161 -1 0
166 161 -1 0
165 161 -1 0
164 161 -1 0
163 161 -1 0
162 161 -1 0
161 161 -1 0
160 161 -1 0
159 161 -1 0
158 161 -1 0
157 161 -1 0
156 161 -1 0
155 161 -1 0
154 161 -1 0
153 161 -1 0
152 161 -1 0
151 161 -1 0
150 161 -1 0
149 161 -1 0
148 161 -1 0
147 161 -1 0
217 160 -1 0
216 160 -1 0
215 160 -1 0
214 160 -1 0
213 160 -1 0
212 160 -1 0
211 160 -1 0
210 160 -1 0
209 160 -1 0
208 160 -1 0
207 160 -1 0
206 160 -1 0
205 160 -1 0
204 160 -1 0
203 160 -1 0
202 160 -1 0
201 160 -1 0
200 160 -1 0
199 160 -1 0
198 160 -1 0
197 160 -1 0
196 160 -1 0
165 160 -1 0
164 160 -1 0
163 160 -1 0
162 160 -1 0
161 160 -1 0
160 160 -1 0
159 160 -1 0
158 160 -1 0
157 160 -1 0
156 160 -1 0
155 160 -1 0
154 160 -1 0
153 160 -1 0
152 160 -1 0
151 160 -1 0
150 160 -1 0
149 160 -1 0
148 160 -1 0
147 160 -1 0
146 160 -1 0
145 160 -1 0
221 159 -1 0
220 159 -1 0
219 159 -1 0
218 159 -1 0
217 159 -1 0
216 159 -1 0
215 159 -1 0
214 159 -1 0
213 159 -1 0
212 159 -1 0
211 159 -1 0
210 159 -1 0
209 159 -1 0
208 159 -1 0
207 159 -1 0
206 159 -1 0
205 159 -1 0
204 159 -1 0
203 159 -1 0
202 159 -1 0
201 159 -1 0
200 159 -1 0
199 159 -1 0
198 159 -1 0
197 159 -1 0
164 159 -1 0
163 159 -1 0
162 159 -1 0
161 159 -1 0
160 159 -1 0
159 159 -1 0
158 159 -1 0
157 159 -1 0
156 159 -1 0
155 159 -1 0
154 159 -1 0
153 159 -1 0
152 159 -1 0
151 159 -1 0
150 159 -1 0
149 159 -1 0
148 159 -1 0
147 159 -1 0
146 159 -1 0
145 159 -1 0
144 159 -1 0
143 159 -1 0
224 158 -1 0
223 158 -1 0
222 158 -1 0
221 158 -1 0
220 158 -1 0
219 158 -1 0
218 158 -1 0
217 158 -1 0
216 158 -1 0
215 158 -1 0
214 158 -1 0
213 158 -1 0
212 158 -1 0
211 158 -1 0
210 158 -1 0
209 158 -1 0
208 158 -1 0
207 158 -1 0
206 158 -1 0
205 158 -1 0
204 158 -1 0
203 158 -1 0
202 158 -1 0
201 158 -1 0
200 158 -1 0
199 158 -1 0
198 158 -1 0
163 158 -1 0
162 158 -1 0
161 158 -1 0
160 158 -1 0
159 158 -1 0
158 158 -1 0
157 158 -1 0
156 158 -1 0
155 158 -1 0
154 158 -1 0
153 158 -1 0
152 158 -1 0
151 158 -1 0
150 158 -1 0
149 158 -1 0
148 158 -1 0
147 158 -1 0
146 158 -1 0
145 158 -1 0
144 158 -1 0
143 158 -1 0
142 158 -1 0
141 158 -1 0
225 157 -1 0
224 157 -1 0
223 157 -1 0
222 157 -1 0
221 157 -1 0
220 157 -1 0
219 157 -1 0
218 157 -1 0
217 157 -1 0
216 157 -1 0
215 157 -1 0
214 157 -1 0
213 157 -1 0
212 157 -1 0
211 157 -1 0
210 157 -1 0
209 157 -1 0
208 157 -1 0
207 157 -1 0
206 157 -1 0
205 157 -1 0
204 157 -1 0
203 157 -1 0
202 157 -1 0
201 157 -1 0
200 157 -1 0
199 157 -1 0
198 157 -1 0
161 157 -1 0
160 157 -1 0
159 157 -1 0
158 157 -1 0
157 157 -1 0
156 157 -1 0
155 157 -1 0
154 157 -1 0
153 157 -1 0
152 157 -1 0
151 157 -1 0
150 157 -1 0
149 157 -1 0
148 157 -1 0
147 157 -1 0
146 157 -1 0
145 157 -1 0
144 157 -1 0
143 157 -1 0
142 157 -1 0
141 157 -1 0
140 157 -1 0
226 156 -1 0
225 156 -1 0
224 156 -1 0
223 156 -1 0
222 156 -1 0
221 156 -1 0
220 156 -1 0
219 156 -1 0
218 156 -1 0
217 156 -1 0
216 156 -1 0
215 156 -1 0
214 156 -1 0
213 156 -1 0
212 156 -1 0
211 156 -1 0
210 156 -1 0
209 156 -1 0
208 156 -1 0
207 156 -1 0
206 156 -1 0
205 156 -1 0
204 156 -1 0
203 156 -1 0
202 156 -1 0
201 156 -1 0
200 156 -1 0
199 156 -1 0
160 156 -1 0
159 156 -1 0
158 156 -1 0
157 156 -1 0
156 156 -1 0
155 156 -1 0
154 156 -1 0
153 156 -1 0
152 156 -1 0
151 156 -1 0
150 156 -1 0
149 156 -1 0
148 156 -1 0
147 156 -1 0
146 156 -1 0
145 156 -1 0
144 156 -1 0
143 156 -1 0
142 156 -1 0
141 156 -1 0
140 156 -1 0
139 156 -1 0
229 155 -1 0
228 155 -1 0
227 155 -1 0
226 155 -1 0
225 155 -1 0
224 155 -1 0
223 155 -1 0
222 155 -1 0
221 155 -1 0
220 155 -1 0
219 155 -1 0
218 155 -1 0
217 155 -1 0
216 155 -1 0
215 155 -1 0
214 155 -1 0
213 155 -1 0
212 155 -1 0
211 155 -1 0
210 155 -1 0
209 155 -1 0
208 155 -1 0
207 155 -1 0
206 155 -1 0
205 155 -1 0
204 155 -1 0
203 155 -1 0
202 155 -1 0
201 155 -1 0
158 155 -1 0
157 155 -1 0
156 155 -1 0
155 155 -1 0
154 155 -1 0
153 155 -1 0
152 155 -1 0
151 155 -1 0
150 155 -1 0
149 155 -1 0
148 155 -1 0
147 155 -1 0
146 155 -1 0
145 155 -1 0
144 155 -1 0
143 155 -1 0
142 155 -1 0
141 155 -1 0
140 155 -1 0
139 155 -1 0
138 155 -1 0
235 154 -1 0
234 154 -1 0
232 154 -1 0
231 154 -1 0
230 154 -1 0
229 154 -1 0
228 154 -1 0
227 154 -1 0
226 154 -1 0
225 154 -1 0
224 154 -1 0
223 154 -1 0
222 154 -1 0
221 154 -1 0
220 154 -1 0
219 154 -1 0
218 154 -1 0
217 154 -1 0
216 154 -1 0
215 154 -1 0
214 154 -1 0
213 154 -1 0
212 154 -1 0
211 154 -1 0
210 154 -1 0
209 154 -1 0
208 154 -1 0
207 154 -1 0
206 154 -1 0
205 154 -1 0
204 154 -1 0
203 154 -1 0
202 154 -1 0
156 154 -1 0
155 154 -1 0
154 154 -1 0
153 154 -1 0
152 154 -1 0
151 154 -1 0
150 154 -1 0
149 154 -1 0
148 154 -1 0
147 154 -1 0
146 154 -1 0
145 154 -1 0
144 154 -1 0
143 154 -1 0
142 154 -1 0
141 154 -1 0
140 154 -1 0
139 154 -1 0
138 154 -1 0
137 154 -1 0
238 153 -1 0
237 153 -1 0
236 153 -1 0
235 153 -1 0
234 153 -1 0
233 153 -1 0
232 153 -1 0
231 153 -1 0
230 153 -1 0
229 153 -1 0
228 153 -1 0
227 153 -1 0
226 153 -1 0
225 153 -1 0
224 153 -1 0
223 153 -1 0
222 153 -1 0
221 153 -1 0
220 153 -1 0
219 153 -1 0
218 153 -1 0
217 153 -1 0
216 153 -1 0
215 153 -1 0
214 153 -1 0
213 153 -1 0
212 153 -1 0
211 153 -1 0
210 153 -1 0
209 153 -1 0
208 153 -1 0
207 153 -1 0
206 153 -1 0
205 153 -1 0
204 153 -1 0
203 153 -1 0
155 153 -1 0
154 153 -1 0
153 153 -1 0
152 153 -1 0
151 153 -1 0
150 153 -1 0
149 153 -1 0
148 153 -1 0
147 153 -1 0
146 153 -1 0
145 153 -1 0
144 153 -1 0
143 153 -1 0
142 153 -1 0
141 153 -1 0
140 153 -1 0
139 153 -1 0
138 153 -1 0
137 153 -1 0
136 153 -1 0
241 152 -1 0
240 152 -1 0
239 152 -1 0
238 152 -1 0
237 152 -1 0
236 152 -1 0
235 152 -1 0
234 152 -1 0
233 152 -1 0
232 152 -1 0
231 152 -1 0
230 152 -1 0
229 152 -1 0
228 152 -1 0
227 152 -1 0
226 152 -1 0
225 152 -1 0
224 152 -1 0
223 152 -1 0
222 152 -1 0
221 152 -1 0
220 152 -1 0
219 152 -1 0
218 152 -1 0
217 152 -1 0
216 152 -1 0
215 152 -1 0
214 152 -1 0
213 152 -1 0
212 152 -1 0
211 152 -1 0
210 152 -1 0
209 152 -1 0
208 152 -1 0
207 152 -1 0
206 152 -1 0
205 152 -1 0
204 152 -1 0
153 152 -1 0
152 152 -1 0
151 152 -1 0
150 152 -1 0
149 152 -1 0
148 152 -1 0
147 152 -1 0
146 152 -1 0
145 152 -1 0
144 152 -1 0
143 152 -1 0
142 152 -1 0
141 152 -1 0
140 152 -1 0
139 152 -1 0
138 152 -1 0
137 152 -1 0
136 152 -1 0
135 152 -1 0
242 151 -1 0
241 151 -1 0
240 151 -1 0
239 151 -1 0
238 151 -1 0
237 151 -1 0
236 151 -1 0
235 151 -1 0
234 151 -1 0
233 151 -1 0
232 151 -1 0
231 151 -1 0
230 151 -1 0
229 151 -1 0
228 151 -1 0
227 151 -1 0
226 151 -1 0
225 151 -1 0
224 151 -1 0
223 151 -1 0
222 151 -1 0
221 151 -1 0
220 151 -1 0
219 151 -1 0
218 151 -1 0
217 151 -1 0
216 151 -1 0
215 151 -1 0
214 151 -1 0
213 151 -1 0
212 151 -1 0
211 151 -1 0
210 151 -1 0
209 151 -1 0
208 151 -1 0
207 151 -1 0
206 151 -1 0
205 151 -1 0
150 151 -1 0
149 151 -1 0
148 151 -1 0
147 151 -1 0
146 151 -1 0
145 151 -1 0
144 151 -1 0
143 151 -1 0
142 151 -1 0
141 151 -1 0
140 151 -1 0
139 151 -1 0
138 151 -1 0
137 151 -1 0
136 151 -1 0
135 151 -1 0
134 151 -1 0
133 151 -1 0
132 151 -1 0
246 150 -1 0
245 150 -1 0
244 150 -1 0
243 150 -1 0
242 150 -1 0
241 150 -1 0
240 150 -1 0
239 150 -1 0
238 150 -1 0
237 150 -1 0
236 150 -1 0
235 150 -1 0
234 150 -1 0
233 150 -1 0
232 150 -1 0
231 150 -1 0
230 150 -1 0
229 150 -1 0
228 150 -1 0
227 150 -1 0
226 150 -1 0
225 150 -1 0
224 150 -1 0
223 150 -1 0
222 150 -1 0
221 150 -1 0
220 150 -1 0
219 150 -1 0
218 150 -1 0
217 150 -1 0
216 150 -1 0
215 150 -1 0
214 150 -1 0
213 150 -1 0
212 150 -1 0
211 150 -1 0
210 150 -1 0
209 150 -1 0
208 150 -1 0
207 150 -1 0
206 150 -1 0
148 150 -1 0
147 150 -1 0
146 150 -1 0
145 150 -1 0
144 150 -1 0
143 150 -1 0
142 150 -1 0
141 150 -1 0
